Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_ALT","TopLed_BitBadge_blink",26.400000,55.400000,0.000000,top
"D2","LED_ALT","TopLed_BitBadge_blink",32.000000,55.400000,0.000000,top
"D3","LED_ALT","TopLed_BitBadge_blink",37.600000,55.400000,0.000000,top
"D4","LED_ALT","TopLed_BitBadge_blink",15.200000,49.800000,0.000000,top
"D5","LED_ALT","TopLed_BitBadge_blink",20.800000,49.800000,0.000000,top
"D6","LED_ALT","TopLed_BitBadge_blink",26.400000,49.800000,0.000000,top
"D7","LED_ALT","TopLed_BitBadge_blink",32.000000,49.800000,0.000000,top
"D8","LED_ALT","TopLed_BitBadge_blink",37.600000,49.800000,0.000000,top
"D9","LED_ALT","TopLed_BitBadge_blink",43.200000,49.800000,0.000000,top
"D10","LED_ALT","TopLed_BitBadge_blink",48.800000,49.800000,0.000000,top
"D11","LED_ALT","TopLed_BitBadge_blink",15.200000,44.200000,0.000000,top
"D12","LED_ALT","TopLed_BitBadge_blink",20.800000,44.200000,0.000000,top
"D13","LED_ALT","TopLed_BitBadge_blink",26.400000,44.200000,0.000000,top
"D14","LED_ALT","TopLed_BitBadge_blink",32.000000,44.200000,0.000000,top
"D15","LED_ALT","TopLed_BitBadge_blink",37.600000,44.200000,0.000000,top
"D16","LED_ALT","TopLed_BitBadge_blink",43.200000,44.200000,0.000000,top
"D17","LED_ALT","TopLed_BitBadge_blink",48.800000,44.200000,0.000000,top
"D18","LED_ALT","TopLed_BitBadge_blink",9.600000,38.600000,0.000000,top
"D19","LED_ALT","TopLed_BitBadge_blink",15.200000,38.600000,0.000000,top
"D20","LED_ALT","TopLed_BitBadge_blink",20.800000,38.600000,0.000000,top
"D21","LED_ALT","TopLed_BitBadge_blink",26.400000,38.600000,0.000000,top
"D22","LED_ALT","TopLed_BitBadge_blink",32.000000,38.600000,0.000000,top
"D23","LED_ALT","TopLed_BitBadge_blink",37.600000,38.600000,0.000000,top
"D24","LED_ALT","TopLed_BitBadge_blink",43.200000,38.600000,0.000000,top
"D25","LED_ALT","TopLed_BitBadge_blink",48.800000,38.600000,0.000000,top
"D26","LED_ALT","TopLed_BitBadge_blink",54.400000,38.600000,0.000000,top
"D27","LED_ALT","TopLed_BitBadge_blink",9.600000,33.000000,0.000000,top
"D28","LED_ALT","TopLed_BitBadge_blink",15.200000,33.000000,0.000000,top
"D29","LED_ALT","TopLed_BitBadge_blink",20.800000,33.000000,0.000000,top
"D30","LED_ALT","TopLed_BitBadge_blink",26.400000,33.000000,0.000000,top
"D31","LED_ALT","TopLed_BitBadge_blink",32.000000,33.000000,0.000000,top
"D32","LED_ALT","TopLed_BitBadge_blink",37.600000,33.000000,0.000000,top
"D33","LED_ALT","TopLed_BitBadge_blink",43.200000,33.000000,0.000000,top
"D34","LED_ALT","TopLed_BitBadge_blink",48.800000,33.000000,0.000000,top
"D35","LED_ALT","TopLed_BitBadge_blink",54.400000,33.000000,0.000000,top
"D36","LED_ALT","TopLed_BitBadge_blink",9.600000,27.400000,0.000000,top
"D37","LED_ALT","TopLed_BitBadge_blink",15.200000,27.400000,0.000000,top
"D38","LED_ALT","TopLed_BitBadge_blink",20.800000,27.400000,0.000000,top
"D39","LED_ALT","TopLed_BitBadge_blink",26.400000,27.400000,0.000000,top
"D40","LED_ALT","TopLed_BitBadge_blink",32.000000,27.400000,0.000000,top
"D41","LED_ALT","TopLed_BitBadge_blink",37.600000,27.400000,0.000000,top
"D42","LED_ALT","TopLed_BitBadge_blink",43.200000,27.400000,0.000000,top
"D43","LED_ALT","TopLed_BitBadge_blink",48.800000,27.400000,0.000000,top
"D44","LED_ALT","TopLed_BitBadge_blink",54.400000,27.400000,0.000000,top
"D45","LED_ALT","TopLed_BitBadge_blink",15.200000,21.800000,0.000000,top
"D46","LED_ALT","TopLed_BitBadge_blink",20.800000,21.800000,0.000000,top
"D47","LED_ALT","TopLed_BitBadge_blink",26.400000,21.800000,0.000000,top
"D48","LED_ALT","TopLed_BitBadge_blink",32.000000,21.800000,0.000000,top
"D49","LED_ALT","TopLed_BitBadge_blink",37.600000,21.800000,0.000000,top
"D50","LED_ALT","TopLed_BitBadge_blink",43.200000,21.800000,0.000000,top
"D51","LED_ALT","TopLed_BitBadge_blink",48.800000,21.800000,0.000000,top
"D52","LED_ALT","TopLed_BitBadge_blink",15.200000,16.200000,0.000000,top
"D53","LED_ALT","TopLed_BitBadge_blink",20.800000,16.200000,0.000000,top
"D54","LED_ALT","TopLed_BitBadge_blink",26.400000,16.200000,0.000000,top
"D55","LED_ALT","TopLed_BitBadge_blink",32.000000,16.200000,0.000000,top
"D56","LED_ALT","TopLed_BitBadge_blink",37.600000,16.200000,0.000000,top
"D57","LED_ALT","TopLed_BitBadge_blink",43.200000,16.200000,0.000000,top
"D58","LED_ALT","TopLed_BitBadge_blink",48.800000,16.200000,0.000000,top
"D59","LED_ALT","TopLed_BitBadge_blink",26.400000,10.600000,0.000000,top
"D60","LED_ALT","TopLed_BitBadge_blink",32.000000,10.600000,0.000000,top
"D61","LED_ALT","TopLed_BitBadge_blink",37.600000,10.600000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom",10.500000,55.000000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom",53.500000,11.000000,0.000000,top
"R1","R","R_1210_HandSoldering",54.400000,19.000000,90.000000,top
"SW1","SW_2P3T","SWITCH_MSS23D19",32.000000,3.900000,0.000000,top
